customer_id,plan_amount,months_paid_on_time,total_lifetime_value,payment_method,contract_type,card_expiry_days,last_login_days_ago,failed_attempts
8178-EYZUO,93.7,46,4154.8,Electronic check,Month-to-month,-13,28,2
5673-FSSMF,60.15,1,60.15,Electronic check,Month-to-month,20,65,4
5052-PNLOS,105.35,3,323.25,Bank transfer (automatic),Month-to-month,6,65,2
1644-IRKSF,93.8,33,3124.5,Electronic check,One year,73,33,5
5167-ZFFMM,90.85,1,90.85,Credit card (automatic),Month-to-month,-11,70,1
3419-SNJJD,105.25,65,6786.4,Bank transfer (automatic),Month-to-month,15,10,0
8884-ADFVN,101.95,7,700.85,Electronic check,Month-to-month,-12,62,4
4902-OHLSK,98.65,29,2862.75,Electronic check,Month-to-month,13,31,5
7314-OXENN,82.0,2,184.65,Electronic check,Month-to-month,7,53,5
0148-DCDOS,94.7,25,2362.1,Bank transfer (automatic),Month-to-month,7,33,0
4355-HBJHH,79.7,67,5293.4,Electronic check,Two year,156,-1,4
2359-KMGLI,80.25,24,1861.5,Electronic check,Month-to-month,-7,45,5
1122-JWTJW,70.65,1,70.65,Mailed check,Month-to-month,10,72,1
6959-UWKHF,42.9,1,42.9,Electronic check,Month-to-month,-10,57,5
5364-XYIRR,94.65,51,4812.75,Electronic check,Month-to-month,20,9,3
6390-DSAZX,73.6,1,73.6,Mailed check,Month-to-month,12,71,1
7133-VBDCG,79.85,25,2015.35,Bank transfer (automatic),Month-to-month,11,49,2
4585-HETAI,73.75,4,325.45,Electronic check,Month-to-month,9,70,3
3318-OSATS,95.45,35,3474.05,Electronic check,Month-to-month,-10,23,3
1218-VKFPE,19.0,12,233.55,Mailed check,Month-to-month,-1,43,2
6474-FVJLC,86.0,2,165.45,Electronic check,Month-to-month,-4,58,2
2189-WWOEW,85.9,15,1269.55,Bank transfer (automatic),Month-to-month,-6,48,1
2114-MGINA,89.8,14,1129.1,Mailed check,Month-to-month,5,60,2
7593-XFKDI,46.3,1,46.3,Mailed check,Month-to-month,17,73,2
0447-BEMNG,45.3,48,2145.0,Bank transfer (automatic),Month-to-month,-12,16,2
5748-RNCJT,106.5,69,7348.8,Bank transfer (automatic),Two year,173,4,1
9837-BMCLM,78.5,3,242.05,Electronic check,Month-to-month,10,54,5
3842-IYKUE,85.3,35,2917.5,Credit card (automatic),Month-to-month,-12,23,0
5318-IXUZF,87.15,2,183.75,Bank transfer (automatic),Month-to-month,13,56,1
2626-URJFX,50.9,4,225.6,Electronic check,Month-to-month,-12,53,3
3957-LXOLK,106.15,28,3152.5,Electronic check,Month-to-month,19,29,4
6235-VDHOM,28.45,5,131.05,Electronic check,Month-to-month,-14,51,3
2013-SGDXK,84.3,1,84.3,Electronic check,Month-to-month,9,56,4
8063-GBATB,85.25,27,2287.25,Electronic check,Month-to-month,7,40,5
4248-HCETZ,79.65,30,2365.15,Mailed check,Month-to-month,-8,27,1
6599-CEBNN,73.95,34,2524.45,Credit card (automatic),Month-to-month,14,30,1
3877-JRJIP,59.85,1,59.85,Electronic check,Month-to-month,-10,56,4
0259-GBZSH,85.65,2,181.5,Electronic check,Month-to-month,1,62,3
6121-VZNQB,19.1,1,19.1,Mailed check,Month-to-month,18,54,2
3319-DWOEP,95.75,6,573.75,Electronic check,Month-to-month,8,51,2
5669-SRAIP,39.5,5,210.75,Electronic check,Month-to-month,18,55,2
2506-CLAKW,98.15,6,567.45,Bank transfer (automatic),Month-to-month,1,59,0
1086-LXKFY,69.1,1,69.1,Mailed check,Month-to-month,7,69,2
8257-RZAHR,64.7,14,941.0,Bank transfer (automatic),Month-to-month,19,56,1
6416-TVAIH,68.5,1,68.5,Electronic check,Month-to-month,-1,66,3
9448-REEVD,44.7,1,44.7,Credit card (automatic),Month-to-month,0,70,2
3018-TFTSU,81.7,12,858.6,Bank transfer (automatic),Month-to-month,-1,46,1
2519-FAKOD,99.25,38,3777.15,Bank transfer (automatic),Month-to-month,7,31,0
3400-ESFUW,57.55,55,3046.4,Bank transfer (automatic),Two year,101,9,0
8752-STIVR,79.0,4,303.15,Electronic check,Month-to-month,7,59,4
5747-PMBSQ,92.5,10,934.1,Mailed check,Month-to-month,8,46,0
5419-CONWX,99.8,4,442.85,Credit card (automatic),Month-to-month,-1,60,1
0727-BMPLR,100.0,55,5509.3,Electronic check,One year,36,9,2
3428-XZMAZ,69.35,1,69.35,Electronic check,Month-to-month,15,72,4
1862-SKORY,39.3,40,1637.4,Electronic check,Month-to-month,-10,31,2
